Id;Address;Latitude;Longitude
917;CALLE TERESA WILMSMONTT # 2263, IQUIQUE;;
911;MALL PLAZA IQUIQUE;;
2205;MALL PLAZA IQUIQUE;;
1104;Ripley Iquique, Iquique;;
1509;TARAPACÁ #401, IQUIQUE, CHILE;;
1561;ALMIRANTE JUAN JOSE LATORRE #2661, ANTOFAGASTA;;
919;ARAUCO ANGAMOS, ANTOFAGASTA;;
1105;ARTURO PRAT #530, ANTOFAGASTA, CHILE;;
2207;MALL ARAUCO ANGAMOS, ANTOFAGASTA;;
912;MALL PLAZA ANTOFAGASTA;;
913;MALL PLAZA CALAMA;;
1107;MALL PLAZA CALAMA;;
914;MALL PLAZA COPIAPO;;
1106;RIPLEY MALL PLAZA COPIAPO;;
1595;CHACABUCO  #371,COPIAPÓ, CHILE;;
918;MALL VIVO COQUIMBO;;
2211;MALL VIVO COQUIMBO;;
1596;Gregorio Cordovez 435, La Serena, Región de Coquimbo;;
915;MALL PLAZA LA SERENA;;
1108;Ripley Serena, la serena;;
916;VICUÑA MACKENNA #175, OVALLE;;
1598;VICUÑA MACKENNA #261,OVALLE;;
4013;RUTA 5 NORTE ESQUINA REGIMIENTO ARICA,PEÑUELAS, LA SERENA;;
984;AVDA. JOSE JOAQUIN PEREZ #285, LA CALERA;;
1112;JOSE JOAQUIN PEREZ #90, LA CALERA;;
2222;MALL OPEN LA CALERA, LA CALERA;;
930;PROLONGACION JOSE JOAQUIN PEREZ #12010, LA CALERA;;
920;AV. SANTA TERESA # 683, LOS ANDES;;
1166;AV. SANTA TERESA # 683, LOS ANDES;;
2221;MALL PASEO QUILLOTA SHOPPING;;
924;O`HIGGINS #76, QUILLOTA;;
923;AVENIDA RAMON FREIRE #2414, PORTAL EL BELLOTO, quinta region;;
1113;CLAUDIO VICUÑA #992, QUILPUE;;
929;MALL ARAUCO SAN ANTONIO;;
1109;PLAZA VICTORIA #1646, VALPARAISO;;
925;CALLE LATORRE #51, VILLA ALEMANA ;;
926;AV. BENIDORM #961,VIÑA DEL MAR;;
927;AV. LIBERTAD #1348, MALL MARINA ARAUCO, VIÑA DEL MAR;;
978;AV. VALPARAISO #1070 ,VIÑA DEL MAR;;
2220;MALL MARINA ARAUCO;;
1110;MALL MARINA ARAUCO;;
1111;PLAZA SUCRE  #290,  VIÑA DEL MAR;;
1144;JOSÉ DOMINGO MUJICA #490, RANCAGUA;;
950;MALL PATIO RANCAGUA;;
959;MALL PORTAL RANCAGUA;;
1550;PASEO INDEPENDENCIA #756, RANCAGUA;;
922;MALL VIVO SAN FERNANDO;;
2246;MALL VIVO SAN FERNANDO;;
966;MANUEL RODRIGUEZ #902, SAN FERNANDO;;
954;MALL CENTER CURICO;;
2247;MALL CENTER CURICO;;
1145;MALL CENTER CURICO;;
1567;INDEPENDENCIA #470, LINARES;;
955;SUPERMERCADO LIDER , LINARES;;
974;AVENIDA OCHO ORIENTE #1472, TALCA;;
1146;Ripley Talca, talca;;
1565;UNO SUR #1620,TALCA;;
1150;BARROS ARANA #1080, CONCEPCIÓN;;
958;BARROS ARANA #741, CONCEPCION;;
1148;BARROS ARANA #829 CONCEPCION;;
2249;MALL DEL CENTRO, CONCEPCION;;
977;MALL DEL CENTRO, CONCEPCION;;
976;MALL PLAZA BIO BIO;;
2250;MALL PLAZA EL TREBOL CONCEPCIÓN;;
1556;BARROS ARANA  #721,CONCEPCIÓN;;
1555;BARROS ARANA #890,CONCEPCIÓN;;
987;MALL ARAUCO CORONEL;;
2251;MALL ARAUCO CORONEL;;
1564;COLON #338, LOS ANGELES;;
960;MALL PLAZA LOS ANGELES;;
1151;RIPLEY MALL PLAZA LOS ANGELES;;
1149;AV. JORGE ALESSANDRI #3107, CONCEPCION;;
957;MALL PLAZA EL TREBOL;;
1153;ARTURO PRAT #656, TEMUCO;;
961;AV. ALEMANIA #671, TEMUCO;;
2260;MALL EASTON TEMUCO;;
1560;MANUEL MONTT   #965, TEMUCO;;
962;MANUEL MONTT #932, TEMUCO;;
1154;RIPLEY MALL PORTAL TEMUCO;;
983;CAMILO HENRIQUEZ #387, VILLARRICA;;
1562;CALLE ELEUTERIO RAMIREZ  #114, OSORNO;;
969;PLAZA YUNGAY #609, OSORNO;;
1578;AV. JUAN SOLERMANFREDINI #31, PUERTO MONTT;;
963;ILLAPEL #10, PUERTO MONTT;;
1156;MALL PASEO COSTANERA;;
2265;MALL PASEO COSTANERA PUERTO MONTT;;
967;URMENETA #580, PUERTO MONTT;;
1155;URMENETA #595,  PUERTO MONTT;;
2264;MALL PUERTO VARAS;;
965;AV. EDUARDO FREI MONTALVA #01110,  PUNTA ARENAS;;
1158;AV. EDUARDO FREI MONTALVA 01110, MALL PIONERO , PUNTA ARENAS;;
2269;MALL ESPACIO URBANO PIONERO;;
1119;AV. AMERICO VESPUCIO # 1501, CERRILLOS;;
940;MALL ARAUCO ESTACION;;
2231;MALL ARAUCO ESTACION;;
951;MALL PLAZA ALAMEDA;;
1142;AV. AMERICO VESPUCIO NORTE #1737, HUECHURABA;;
941;MALL PLAZA NORTE;;
2236;MALL PLAZA NORTE;;
988;AVDA. A. VESPUCIO # 33, INTERMODAL LA CISTERNA;;
1129;AV. VICUÑA MACKENNA #7110, LA FLORIDA;;
4014;AVENIDA LA FLORIDA #8988, LA FLORIDA, SANTIAGO;;
948;MALL FLORIDA CENTER;;
2235;MALL FLORIDA CENTER;;
970;MALL PLAZA VESPUCIO;;
2239;MALL PLAZA VESPUCIO;;
1136;RIPLEY MALL FLORIDA CENTER;;
1133;AV.LARRAIN #5800, LA REINA;;
1135;AV. KENNEDY #5413, LAS CONDES;;
1143;AV. KENNEDY #9001, LAS CONDES;;
2229;MALL KENNEDY LAS CONDES;;
979;MALL PLAZA LOS DOMINICOS;;
2232;MALL PLAZA LOS DOMINICOS;;
938;MALL PLAZA OESTE;;
1592;5 DE ABRIL #33, MAIPÚ;;
1114;AV. AMERICO VESPUCIO #399,  MAIPU;;
1589;Baquedano #84, Coquimbo;;
4010;CAMINO A MELIPILLA  #15900, MAIPU, SANTIAGO;;
947;CAMINO A MELIPILLA #9460,  MAIPU;;
2240;CAMINO A MELIPILLA #9460,  MAIPU;;
934;MALL ARAUCO MAIPU;;
8040;MALL ARAUCO MAIPU;;
928;MALL VIVO MELIPILLA;;
1510;VARGAS #578, MELIPILLA;;
971;MALL PORTAL ÑUÑOA;;
952;MALL PASEO QUILIN;;
8037;MAR TIRRENO #3349,  PEÑALOLEN;;
2237;WB MALL PASEO QUILIN;;
931;AV. 11 DE SEPTIEMBRE # 2249 LOCAL 1, PROVIDENCIA;;
1138;AV. ANDRES BELLO #2465, PROVIDENCIA;;
975;BUBBLEGUMMERS MALL COSTANERA CENTER, SANTIAGO;;
2238;WB MALL COSTANERA CENTER;;
1130;AV CAMILO HENRIQUEZ #3296, PUENTE ALTO;;
943;AV. CONCHA Y TORO #1149, PUENTE ALTO;;
1591;AV. CONCHA Y TORO #175, PUENTE ALTO;;
939;MALL PLAZA TOBALABA;;
973;Puente alto calle;;
1597;AVDA BERNARDO O`HIGGINS #581, QUILICURA;;
980;Mall Arauco Qulicura;;
945;MALL EASTON QUILICURA;;
4012;PRESIDENTE EDUARDO FREI MONTALVA 9709,QUILICURA, SANTIAGO;;
1159;AV. PORTALES 674, SAN BENARDO;;
1594;EYZAGUIRRE #702,  SAN BERNARDO;;
946;MALL PASEO SAN BERNARDO;;
2230;MALL PASEO SAN BERNARDO;;
933;MALL PLAZA SUR;;
2234;AVDA. JOSE MIGUEL CARRERA # 6150, SAN MIGUEL;;
8034;AVDA. JOSE MIGUEL CARRERA # 6150, SAN MIGUEL;;
949;GRAN AVENIDA #6150, SAN MIGUEL;;
1128;21 DE MAYO #698, SANTIAGO;;
1141;AGUSTINAS #1025, SANTIAGO;;
1503;AHUMADA #390, SANTIAGO;;
1501;ALAMEDA #757, SANTIAGO;;
1115;AV. LIBERTADOR BERNARDO O'HIGGINS #3470, SANTIAGO;;
942;MALL BARRIO INDEPENDENCIA;;
2233;MALL BARRIO INDEPENDENCIA;;
981;MALL PLAZA EGAÑA SANTIAGO;;
991;MALL VIVO IMPERIO;;
944;MALL VIVOCENTRO SANTIAGO;;
1507;PUENTE #640, SANTIAGO;;
1508;PUENTE #696, SANTIAGO;;
1593;SALVADOR SANFUENTES #2968, SANTIAGO;;
921;AV. BERNARDO O'HIGGINS #1068, TALAGANTE;;
4011;ANFIÓN MUÑOZ #$360, VALDIVIA;;
1157;MALL PLAZA DE LOS RIOS;;
964;MALL PLAZA LOS RIOS;;
985;MALL TABOADA - VALDIVIA;;
2263;MALL TABOADA VALDIVIA;;
910;21 DE MAYO #435, ARICA, CHILE;;
909;MALL PLAZA ARICA;;
2201;MALL PLAZA ARICA;;
1147;5 DE ABRIL #699, CHILLAN;;
956;AV. COLLIN #698, CHILLAN;;
953;MALL ARAUCO EL ROBLE CHILLAN;;
1563;ISABEL RIQUELME #709, CHILLÁN;;
